"Breed Group","Rescue_ID","Name - AdoptAPet","treatment","treatment_10_20_25"
"Stigma","A0059040305","Auggie",0,0
"Stigma","A0058719090","Ava Grace",0,0
"Stigma","A0059309535","Baby Doll",0,0
"Stigma","A0056684348","Chucky [Foster Home]",1,1
"Stigma","A0059193976","Claudia",1,1
"Stigma","A0059040345","Deebo",1,1
"Stigma","A0059040308","Denali",1,1
"Stigma","A0059058634","Elliott",0,0
"Stigma","A0057718939","Goose",1,1
"Stigma","A0058873126","Gretchen",0,0
"Stigma","A0058760472","Kirby",1,1
"Stigma","A0058276398","Koko",1,1
"Stigma","A0059290499","Kombucha",0,0
"Stigma","A0059026516","Lotus",1,1
"Stigma","A0059250430","Mary",1,1
"Stigma","A0059250424","Maya",0,0
"Stigma","A0059197970","Roux",1,1
"Stigma","A0059072755","Royal",0,0
"Stigma","A0059290520","Sauerkraut",0,0
"Stigma","A0057142369","Sebastian",0,0
"Stigma","A0059258024","Shells [Foster Home]",1,1
"Stigma","A0059200388","Tramp",0,0
"Stigma","A0057829377","Woodstock",0,0
"Stigma","A0058904337","Yukiko [Foster Home]",0,0
"Stigma","A0058018080","Zorua [Foster Home]",1,1
"Stigma","A0059395399","Harry",NA,1
"Stigma","A0059288140","Lainey",NA,1
"Stigma","A0059055106","Reno",NA,1
"Stigma","A0059406803","Rocky",NA,1
"Non-Stigma","A0059233187","Captain Crunch [Foster Home]",1,0
"Non-Stigma","A0058705427","Cole [Foster Home]",1,0
"Non-Stigma","A0059021778","Craig",1,1
"Non-Stigma","A0059031537","Dingo [Foster Home]",1,0
"Non-Stigma","A0059197919","Emmett",0,0
"Non-Stigma","A0059218846","Feta",0,0
"Non-Stigma","A0059232843","Hash",1,1
"Non-Stigma","A0059350629","Homer",0,0
"Non-Stigma","A0058881642","Journey [Foster Home]",0,0
"Non-Stigma","A0058928950","Jovi",0,1
"Non-Stigma","A0058730783","Kim",1,1
"Non-Stigma","A0058922485","Landon",0,0
"Non-Stigma","A0058872904","Luca [Foster Home]",0,0
"Non-Stigma","A0059262241","Madre [Foster Home]",1,1
"Non-Stigma","A0059350618","Marge",1,0
"Non-Stigma","A0058929883","Max",0,1
"Non-Stigma","A0059211510","Pocahontas",0,0
"Non-Stigma","A0051746637","Ralph",1,1
"Non-Stigma","A0059318148","Rooster",0,0
"Non-Stigma","A0059350455","Star",1,1
"Non-Stigma","A0058760517","Tanya",0,0
"Non-Stigma","A0058760527","Twister",1,1
"Non-Stigma","A0059055232","Vanna",0,1
"Non-Stigma","A0059240393","Cheech",NA,1
"Non-Stigma","A0059407357","Bruno",NA,1
"Non-Stigma","A0059445995","Deeno",NA,0
"Non-Stigma","A0059531269","Earl",NA,1
"Non-Stigma","A0059565213","Fufu",NA,1
"Non-Stigma","A0059431975","Gomez",NA,0
"Non-Stigma","A0059304713","Gunner",NA,0
"Non-Stigma","A0059362072","Hershey",NA,1
"Non-Stigma","A0059354378","Java",NA,0
"Non-Stigma","A0059340484","Moana",NA,1
"Non-Stigma","A0059531197","Rufus",NA,1
